Date,Open,High,Low,Close,Adj Close,Volume
14-09-2020,204.2400055,209.1999969,204.0299988,205.4100037,201.2845459,30375800
15-09-2020,208.4199982,209.7799988,206.9299927,208.7799988,204.586853,21823900
16-09-2020,210.6199951,210.6499939,204.6399994,205.0500031,200.9317474,26328100
17-09-2020,200.0500031,204.3300018,199.9600067,202.9100037,198.8347473,34011300
18-09-2020,202.8000031,203.6499939,196.25,200.3899994,196.3653412,55225300
21-09-2020,197.1900024,202.7100067,196.3800049,202.5399933,198.472168,39839700
22-09-2020,205.0599976,208.1000061,202.0800018,207.4199982,203.2541504,33517100
23-09-2020,207.8999939,208.1000061,200.0299988,200.5899963,196.5613403,30803800
24-09-2020,199.8500061,205.5700073,199.1999969,203.1900024,199.1091003,31202500
25-09-2020,203.5500031,209.0399933,202.5399933,207.8200073,203.6461182,29437300
28-09-2020,210.8800049,212.5700073,208.0599976,209.4400024,205.2336121,32004900
29-09-2020,209.3500061,210.0700073,206.8099976,207.2599945,203.0973511,24221900
30-09-2020,207.7299957,211.9799957,206.5399933,210.3300018,206.1056976,33829100
01-10-2020,213.4900055,213.9900055,211.3200073,212.4600067,208.1929474,27158400
02-10-2020,208,210.9900055,205.5399933,206.1900024,202.0488586,33154800
05-10-2020,207.2200012,210.4100037,206.9799957,210.3800049,206.1547241,21331600
06-10-2020,208.8200073,210.1799927,204.8200073,205.9100037,201.7745056,28554300
07-10-2020,207.0599976,210.1100006,206.7200012,209.8300018,205.6157379,25681100
08-10-2020,210.5099945,211.1900024,208.3200073,210.5800018,206.3506775,19925800
09-10-2020,211.2299957,215.8600006,211.2299957,215.8099976,211.4756317,26458000
12-10-2020,218.7899933,223.8600006,216.8099976,221.3999939,216.9533844,40461400
13-10-2020,222.7200012,225.2100067,220.4299927,222.8600006,218.3840485,28950800
14-10-2020,223,224.2200012,219.1300049,220.8600006,216.4242554,23421700
15-10-2020,217.1000061,220.3600006,216.0099945,219.6600037,215.2483215,22733100
16-10-2020,220.1499939,222.2899933,219.3200073,219.6600037,215.2483215,26057900
19-10-2020,220.4199982,222.3000031,213.7200012,214.2200012,209.9176025,27625800
20-10-2020,215.8000031,217.3699951,213.0899963,214.6499939,210.3389587,22753500
21-10-2020,213.1199951,216.9199982,213.1199951,214.8000031,210.4859314,22724900
22-10-2020,213.9299927,216.0599976,211.6999969,214.8899994,210.5740967,22351500
23-10-2020,215.0299988,216.2799988,213.1600037,216.2299957,211.887207,18879600
26-10-2020,213.8500061,216.3399963,208.1000061,210.0800018,205.8607178,37111600
27-10-2020,211.5899963,214.6699982,210.3300018,213.25,208.9670563,36700300
28-10-2020,207.6699982,208.8399963,202.1000061,202.6799927,198.6093445,51195600
29-10-2020,204.0700073,207.3600006,203.3699951,204.7200012,200.6083679,31432600
30-10-2020,203.5,204.2899933,199.6199951,202.4700012,198.4035797,36953700
02-11-2020,204.2899933,205.2799988,200.1199951,202.3300018,198.2663727,30842200
03-11-2020,203.8899994,208.1199951,203.1199951,206.4299927,202.2840424,27512000
04-11-2020,214.0200043,218.3200073,212.4199982,216.3899994,212.0440063,42311800
05-11-2020,222.0399933,224.1199951,221.1499939,223.2899933,218.8054352,36080100
06-11-2020,222.2599945,224.3600006,218.0299988,223.7200012,219.2268066,25231900
09-11-2020,224.4400024,228.1199951,217.8800049,218.3899994,214.0038147,44395000
10-11-2020,214.5,216.5,209.7200012,211.0099945,206.7720642,44045100
11-11-2020,212.3899994,218.0399933,212.1999969,216.5500031,212.2007599,29440800
12-11-2020,217.2100067,219.1100006,214.4600067,215.4400024,211.1130829,21593900
13-11-2020,216.3600006,217.4199982,214.1600037,216.5099945,212.1615906,18621100
16-11-2020,214.8699951,217.7400055,214.5200043,217.2299957,212.867157,24953300
17-11-2020,216.1000061,217.6799927,214.0800018,214.4600067,210.152771,24154100
18-11-2020,213.6499939,215.1699982,210.9299927,211.0800018,207.3821716,28372800
19-11-2020,211.3800049,213.0299988,209.9299927,212.4199982,208.6986694,24792700
20-11-2020,212.1999969,213.2899933,210,210.3899994,206.7042389,22843100
23-11-2020,210.9499969,212.2899933,208.1600037,210.1100006,206.4291687,25683500
24-11-2020,209.5899963,214.25,208.8600006,213.8600006,210.1134796,33979700
25-11-2020,215.1100006,215.2899933,212.4600067,213.8699951,210.123291,21012900
27-11-2020,214.8500061,216.2700043,214.0399933,215.2299957,211.4594574,14512200
30-11-2020,214.1000061,214.7599945,210.8399963,214.0700073,210.319809,33064800
01-12-2020,214.5099945,217.3200073,213.3500061,216.2100067,212.4223022,30904500
02-12-2020,214.8800049,215.4700012,212.8000031,215.3699951,211.5969696,23724500
03-12-2020,214.6100006,216.3800049,213.6499939,214.2400055,210.4868317,25120900
04-12-2020,214.2200012,215.3800049,213.1799927,214.3600006,210.6047363,24666000
07-12-2020,214.3699951,215.5399933,212.9900055,214.2899933,210.5359039,24620000
08-12-2020,213.9700012,216.9499969,212.8899994,216.0099945,212.2257996,23284100
09-12-2020,215.1600037,215.2299957,211.2100067,211.8000031,208.0895386,32440600
10-12-2020,211.7700043,213.0800018,210.3600006,210.5200043,206.8319855,26733300
11-12-2020,210.0500031,213.3200073,209.1100006,213.2599945,209.5239563,30979400
14-12-2020,213.1000061,216.2100067,212.8800049,214.1999969,210.4475098,28798400
15-12-2020,215.1699982,215.4199982,212.2400055,214.1300049,210.3787384,27000600
16-12-2020,214.75,220.1100006,214.7200012,219.2799988,215.4385223,35023300
17-12-2020,219.8699951,220.8899994,217.9199982,219.4199982,215.5760498,32515800
18-12-2020,218.5899963,219.6900024,216.0200043,218.5899963,214.7605896,63354900
21-12-2020,217.5500031,224,217.2799988,222.5899963,218.6905212,37181900
22-12-2020,222.6900024,225.6300049,221.8500061,223.9400024,220.0168762,22612200
23-12-2020,223.1100006,223.5599976,220.8000031,221.0200043,217.1480408,18699600
24-12-2020,221.4199982,223.6100006,221.1999969,222.75,218.8477173,10550600
28-12-2020,224.4499969,226.0299988,223.0200043,224.9600067,221.0189972,17933500
29-12-2020,226.3099976,227.1799927,223.5800018,224.1499939,220.2232208,17403200
30-12-2020,225.2299957,225.6300049,221.4700012,221.6799927,217.796463,20272300
31-12-2020,221.6999969,223,219.6799927,222.4199982,218.5234985,20942100
04-01-2021,222.5299988,223,214.8099976,217.6900024,213.8763885,37130100
05-01-2021,217.2599945,218.5200043,215.6999969,217.8999939,214.0826721,23823000
06-01-2021,212.1699982,216.4900055,211.9400024,212.25,208.531662,35930700
07-01-2021,214.0399933,219.3399963,213.7100067,218.2899933,214.4658508,27694500
08-01-2021,218.6799927,220.5800018,217.0299988,219.6199951,215.7725525,22956200
11-01-2021,218.4700012,218.9100037,216.7299957,217.4900055,213.6798859,23031300
12-01-2021,216.5,217.1000061,213.3200073,214.9299927,211.1647034,23249300
13-01-2021,214.0200043,216.7599945,213.9299927,216.3399963,212.5500183,20087100
14-01-2021,215.9100037,217.4600067,212.7400055,213.0200043,209.2881622,29480800
15-01-2021,213.5200043,214.5099945,212.0299988,212.6499939,208.9246674,31746500
19-01-2021,213.75,216.9799957,212.6300049,216.4400024,212.6482849,30480900
20-01-2021,217.6999969,225.7899933,217.2899933,224.3399963,220.4098511,37777300
21-01-2021,224.6999969,226.3000031,222.4199982,224.9700012,221.0288391,30709400
22-01-2021,227.0800018,230.0700073,225.8000031,225.9499969,221.9916687,30172700
25-01-2021,229.1199951,229.7799988,224.2200012,229.5299988,225.5089111,33152100
26-01-2021,231.8600006,234.1799927,230.0800018,232.3300018,228.2598877,49169600
27-01-2021,238,240.4400024,230.1399994,232.8999939,228.819931,69870600
28-01-2021,235.6100006,242.6399994,235.0899963,238.9299927,234.7442627,49111200
29-01-2021,235.9900055,238.0200043,231.3500061,231.9600067,227.8963928,42503100
01-02-2021,235.0599976,242.5,232.4299927,239.6499939,235.4516602,33314200
02-02-2021,241.3000031,242.3099976,238.6900024,239.5099945,235.3141327,25916300
03-02-2021,239.5700073,245.0899963,239.2599945,243,238.7429657,27158100
04-02-2021,242.6600037,243.2400055,240.3699951,242.0099945,237.7703094,25296100
05-02-2021,242.2299957,243.2799988,240.4199982,242.1999969,237.9569702,18054800
08-02-2021,243.1499939,243.6799927,240.8099976,242.4700012,238.2222595,22211900
09-02-2021,241.8699951,244.7599945,241.3800049,243.7700043,239.4994812,23565000
10-02-2021,245,245.9199982,240.8899994,242.8200073,238.5661316,22186700
11-02-2021,244.7799988,245.1499939,242.1499939,244.4900055,240.2068787,15751100
12-02-2021,243.9299927,245.3000031,242.7299957,244.9900055,240.6981201,16561100
16-02-2021,245.0299988,246.1300049,242.9199982,243.6999969,239.4307251,26728500
17-02-2021,241.3200073,244.3099976,240.9400024,244.1999969,240.4745331,21653500
18-02-2021,241.8000031,243.9299927,240.8600006,243.7899933,240.070755,16925600
19-02-2021,243.75,243.8600006,240.1799927,240.9700012,237.2937775,25262600
22-02-2021,237.4199982,237.9299927,232.3999939,234.5099945,230.9323425,36446900
23-02-2021,230.3300018,234.8300018,228.7299957,233.2700043,229.7112732,30228700
24-02-2021,230.0099945,235.1999969,229,234.5500031,230.9717712,26339700
25-02-2021,232.0800018,234.5899963,227.8800049,228.9900055,225.496582,39542200
26-02-2021,231.5299988,235.3699951,229.5399933,232.3800049,228.8348846,37819200
01-03-2021,235.8999939,237.4700012,233.1499939,236.9400024,233.3253021,25324000
02-03-2021,237.0099945,237.3000031,233.4499969,233.8699951,230.3021088,22812500
03-03-2021,232.1600037,233.5800018,227.2599945,227.5599976,224.0883789,34029500
04-03-2021,226.7400055,232.4900055,224.2599945,226.7299957,223.2710571,44727800
05-03-2021,229.5200043,233.2700043,226.4600067,231.6000061,228.0667725,41872800
08-03-2021,231.3699951,233.3699951,227.1300049,227.3899994,223.9210052,35267400
09-03-2021,232.8800049,235.3800049,231.6699982,233.7799988,230.213501,33080500
10-03-2021,237,237,232.0399933,232.4199982,228.8742371,29746800
11-03-2021,234.9600067,239.1699982,234.3099976,237.1300049,233.5124054,29907600
12-03-2021,234.0099945,235.8200073,233.2299957,235.75,232.1534424,22653700
15-03-2021,234.9600067,235.1900024,231.8099976,234.8099976,231.2277832,26034900
16-03-2021,236.2799988,240.0599976,235.9400024,237.7100067,234.0835266,28092200
17-03-2021,236.1499939,238.5500031,233.2299957,237.0399933,233.4237518,29562100
18-03-2021,232.5599976,234.1900024,230.3300018,230.7200012,227.2001801,34833000
19-03-2021,231.0200043,232.4700012,229.3500061,230.3500061,226.8358307,46430700
22-03-2021,230.2700043,236.8999939,230.1399994,235.9900055,232.3897858,30127000
23-03-2021,237.4900055,241.0500031,237.0700073,237.5800018,233.9555206,31638400
24-03-2021,237.8500061,238,235.3200073,235.4600067,231.8678894,25620100
25-03-2021,235.3000031,236.9400024,231.5700073,232.3399963,228.7954712,34061900
26-03-2021,231.5500031,236.7100067,231.5500031,236.4799957,232.8722992,25479900
29-03-2021,236.5899963,236.8000031,231.8800049,235.2400055,231.6512146,25227500
30-03-2021,233.5299988,233.8500061,231.1000061,231.8500061,228.3129425,24792000
31-03-2021,232.9100037,239.1000061,232.3899994,235.7700043,232.1731262,43623500
01-04-2021,238.4700012,242.8399963,238.0500031,242.3500061,238.6527557,30338000
05-04-2021,242.7599945,249.9600067,242.6999969,249.0700073,245.2702332,36910600
06-04-2021,247.6100006,249.3999939,246.8800049,247.8600006,244.0787048,22931900
07-04-2021,247.8099976,250.9299927,247.1900024,249.8999939,246.0875702,22719800
08-04-2021,252.7700043,254.1399994,252,253.25,249.3864746,23625200
09-04-2021,252.8699951,255.9900055,252.4400024,255.8500061,251.9468079,24326800
12-04-2021,254.7100067,257.6700134,254.6199951,255.9100037,252.0059052,27148700
13-04-2021,257.2600098,259.1900024,256.8299866,258.4899902,254.5465393,23837500
14-04-2021,257.480011,258.8299866,255.1600037,255.5899963,251.6907654,23070900
15-04-2021,257.9299927,259.9299927,257.730011,259.5,255.5411072,25627500
16-04-2021,259.4700012,261,257.6000061,260.7399902,256.762207,24878600
19-04-2021,260.1900024,261.480011,257.8200073,258.7399902,254.7927094,23209300
20-04-2021,257.8200073,260.2000122,256.8399963,258.2600098,254.3200531,19722900
21-04-2021,258.9400024,260.6799927,257.25,260.5799866,256.6046448,24030400
22-04-2021,260.2099915,261.7799988,255.6399994,257.1700134,253.2466888,25606200
23-04-2021,257.8800049,261.5100098,257.269989,261.1499939,257.1659241,21462600
26-04-2021,261.6600037,262.4400024,260.1700134,261.5499878,257.5598755,19763300
27-04-2021,261.5799866,263.1900024,260.1199951,261.9700012,257.9734497,31014200
28-04-2021,256.0799866,256.5400085,252.9499969,254.5599976,250.6764679,46903100
29-04-2021,255.4600067,256.1000061,249,252.5099945,248.6577454,40589000
30-04-2021,249.7400055,253.0800018,249.6000061,252.1799927,248.3327942,30945100
03-05-2021,253.3999939,254.3500061,251.1199951,251.8600006,248.0176544,19626600
04-05-2021,250.9700012,251.2100067,245.7599945,247.7899933,244.0097504,32756100
05-05-2021,249.0599976,249.5,245.8200073,246.4700012,242.7098999,21901300
06-05-2021,246.4499969,249.8600006,244.6900024,249.7299957,245.920166,26491100
07-05-2021,252.1499939,254.3000031,251.1699982,252.4600067,248.6085052,27032900
10-05-2021,250.8699951,251.7299957,247.1199951,247.1799927,243.4090576,29299900
11-05-2021,244.5500031,246.6000061,242.5700073,246.2299957,242.4735413,33641600
12-05-2021,242.1699982,244.3800049,238.0700073,239,235.3538666,36684400
13-05-2021,241.8000031,245.6000061,241.4199982,243.0299988,239.3223724,29624300
14-05-2021,245.5800018,249.1799927,245.4900055,248.1499939,244.3642578,23901100
17-05-2021,246.5500031,246.5899963,243.5200043,245.1799927,241.4395905,24970200
18-05-2021,246.2700043,246.4100037,242.8999939,243.0800018,239.3716431,20168000
19-05-2021,239.3099976,243.2299957,238.6000061,243.1199951,239.9638062,25739800
